threads,repeat,histogram,bin,bin_label,content,exact_error,approx_error,rowwise_error,error_difference,relative_difference_pct,rowwise_relative_difference_pct
16,1,selected_nMuon,3,2.0,34096.11111111141,171.97369164288753,171.95488211004792,61.55044102298996,-0.01880953283961162,-0.010937447850267734,-64.20938549670568
16,1,selected_nMuon,4,3.0,4233.111111111162,34.52928619213357,34.527498434554225,21.687454415221794,-0.001787757579343463,-0.00517751096676955,-37.191130177018806
16,1,selected_nMuon,5,4.0,352.5555555555547,7.781745019952509,7.781745019952509,6.258820935781194,0.0,0.0,-19.570470122916074
16,1,selected_nMuon,6,overflow,23.44444444444445,1.9404721329525534,1.9404721329525534,1.6139821162593277,0.0,0.0,-16.82528757557832
16,2,nMuon,0,underflow,0.0,0.0,0.0,0.0,0.0,,
16,2,nMuon,1,0.0,10149.666666666677,99.12562175789311,99.1151593592767,33.5818513596374,-0.010462398616411406,-0.01055468649867608,-66.12192613363017
16,2,nMuon,2,1.0,27232.33333333358,158.30323300629863,158.29340627181963,55.007406908663825,-0.009826734478991739,-0.006207538716918037,-65.25187397374559
16,2,nMuon,3,2.0,36635.555555555744,177.91224081579574,177.8968351337825,63.80138935753632,-0.01540568201323822,-0.008659146747069801,-64.1388422376209
16,2,nMuon,4,3.0,4460.555555555594,35.6278778348127,35.62614520576449,22.262463564273276,-0.0017326290482131412,-0.0048631272854593455,-37.513921913922744
16,2,nMuon,5,4.0,362.77777777777686,7.909207011803122,7.909207011803122,6.348908723182968,0.0,0.0,-19.72761980172828
16,2,nMuon,6,overflow,24.111111111111118,1.9594657876164885,1.9594657876164885,1.6367688736284707,0.0,0.0,-16.468616907088197
16,2,nGenJet,0,underflow,0.0,0.0,0.0,0.0,0.0,,
16,2,nGenJet,1,0.0,407.0,20.174241001832016,20.161998235281793,6.724747000610684,-0.012242766550222939,-0.06068514076496001,-66.6666666666666
16,2,nGenJet,2,1.0,669.0,25.865034312755125,25.865034312755125,8.621678104251723,0.0,0.0,-66.6666666666666
16,2,nGenJet,3,2.0,21490.0,146.59467930317254,146.58861559555783,48.86489310105759,-0.006063707614714531,-0.004136376329300084,-66.6666666666666
16,2,nGenJet,4,3.0,18480.0,135.94116374373144,135.92990205103857,45.313721247908404,-0.011261692692869474,-0.008284240315981073,-66.66666666666819
16,2,nGenJet,5,4.0,14582.0,120.75595223424807,120.74388771177235,40.25198407808114,-0.012064522475725425,-0.009990830474615464,-66.66666666666794
16,2,nGenJet,6,overflow,23237.0,152.43687217992897,152.42148353160493,50.81229072664445,-0.015388648324034193,-0.01009509582817758,-66.6666666666657
16,2,selected_nMuon,0,underflow,0.0,0.0,0.0,0.0,0.0,,
